"","dose","resp"
"1",0.05,1.3538009793
"2",0.05,0.1549802387
"3",0.05,-0.070838037
"4",0.05,0.5837409094
"5",0.05,0.9625985272
"6",0.05,0.381388876
"7",0.05,-0.004695991
"8",0.05,0.5193049353
"9",0.05,-0.36332213
"10",0.05,0.3389033364
"11",0.05,0.1456207172
"12",0.05,0.4428034057
"13",0.05,-0.021949664
"14",0.05,0.3725982403
"15",0.05,1.5289760718
"16",0.05,0.1494712982
"17",0.05,0.3740633622
"18",0.05,1.0116781996
"19",0.05,0.2813062674
"20",0.05,0.9946561552
"21",0.2,1.1980818192
"22",0.2,1.5676839396
"23",0.2,-0.155607279
"24",0.2,0.2065877697
"25",0.2,1.8534652416
"26",0.2,0.9956828728
"27",0.2,2.4522341569
"28",0.2,-0.52039887
"29",0.2,0.0488562374
"30",0.2,0.633128014
"31",0.2,0.528413238
"32",0.2,0.4229020234
"33",0.2,1.2333258245
"34",0.2,1.8678257039
"35",0.2,1.0578350569
"36",0.2,0.3453489395
"37",0.2,0.4048513712
"38",0.2,0.4842033095
"39",0.2,0.5711998779
"40",0.2,1.0106961846
"41",0.6,1.1722210044
"42",0.6,0.6675581023
"43",0.6,1.7776816169
"44",0.6,0.3097357953
"45",0.6,0.0564619101
"46",0.6,0.900065687
"47",0.6,0.7383029489
"48",0.6,0.2278790485
"49",0.6,1.3851060656
"50",0.6,0.9123905817
"51",0.6,0.2993001259
"52",0.6,0.2789173036
"53",0.6,0.2700438072
"54",0.6,0.5696251728
"55",0.6,1.6043280055
"56",0.6,1.5769445306
"57",0.6,2.9245089617
"58",0.6,0.1715323755
"59",0.6,2.1605237378
"60",0.6,0.6856117438
"61",1,2.2484458413
"62",1,2.1736887992
"63",1,1.2545092646
"64",1,1.864626603
"65",1,-1.113082058
"66",1,1.1984150914
"67",1,1.9748582903
"68",1,0.6253341502
"69",1,1.3302581371
"70",1,0.149454689
"71",1,0.887139996
"72",1,0.5630640881
"73",1,0.7308631258
"74",1,-0.771473861
"75",1,0.4947783578
"76",1,0.3031102509
"77",1,0.4252313312
"78",1,2.5577737836
"79",1,1.1288965796
"80",1,0.9483358712
"81",0,0.3546216437
"82",0,0.136528014
"83",0,-0.017221273
"84",0,0.3674835632
"85",0,0.3951276179
"86",0,0.3579659107
"87",0,0.3129364585
"88",0,-0.044915902
"89",0,0.6230913868
"90",0,0.0395121796
"91",0,-0.30840357
"92",0,-0.452964305
"93",0,-0.201709236
"94",0,1.5608690907
"95",0,0.5612862925
"96",0,0.336241137
"97",0,-0.159375068
"98",0,0.9926047282
"99",0,0.8069870078
"100",0,1.2374422527
